sample-id,iguana-id,unique-id,sample-type,species,site,sex,tourism-level,visited,year,date,month,repro_month,repro_score,svl,tail,mass,glucose,progesterone,testosterone,e2,corticosterone,bacterial-killing-ability,glycerol,true-triglycerides,droms,antioxidants-index
F72,88,88LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,27.7,39.8,890,149,,3.793,,10.959,38.26415094,78.05108798,123.5107535,10.53326327,295.821727
F71,99,99LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,30.5,44,1245,144,0.038,0.616,1.856,1.985,5.509433962,17.97540208,35.54850689,3.29584866,297.1291866
F70,94,94LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,32.1,40.2,1310,141,,6.206,,13.183,16.22641509,35.95080416,63.24462324,8.676826064,322.8
F7,150,150WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,27,37.1,670,158,0.029,0.375,0.205,6.183,9.813084112,19.88879384,35.16483516,2.163021869,318.1818182
F69,96,96LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,37.2,50.4,2190,126,,5.368,,0.828,13.96226415,14.19110691,36.67027696,5.515501839,310.8
F68,86,86LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,27.8,39.6,895,141,0.315,0.346,0.971,0.906,13.05660377,29.32828761,48.42952189,3.847398844,294.2583732
F67,93,93LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,39,53.3,3045,144,,4.597,,0.767,17.58490566,61.0217597,49.35788334,5.636573831,308.4
F66,97,97LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,35.7,48.6,1940,128,,2.828,,0.813,51.24528302,140.2554399,130.5895095,16.10257488,310.8
F65,45,45LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,28.1,40.5,910,189,0.836,0.622,1.639,1.442,26.33962264,91.2961211,75.97091134,6.09395691,299.2822967
F64,87,87LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,29.7,38.9,1050,130,0.539,0.99,0.491,27.941,19.54716981,62.91390728,119.2944453,10.3583815,292.1052632
F63,53,53LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,32,45.9,1620,131,0.043,6.768,0.279,0.906,40.52830189,98.39167455,119.1010367,14.25959012,297.1291866
F62,4,4LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,38.8,50.5,2515,136,0.824,0.759,1.182,1.065,18.49056604,34.29517502,54.46387127,6.36300578,282.7751196
F61,98,98LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,40,50.6,3125,143,,0.502,,1.845,19.24528302,21.52317881,53.92232709,5.86526537,306
F60,100,100LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,35.8,49.6,1950,133,,2.119,,0.838,14.56603774,25.07095553,46.37939038,6.793483973,304.8
F6,18,18WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,30.6,40.6,965,135,0.892,0.179,0.859,57.684,29.90654206,38.70829769,21.82644941,4.96222664,309.0909091
F59,160,160WBC,sample,figginsi,WBC,M,moderate,visited,2016,9/5/2016,september,post,M,26.4,39.1,815,140,,2.428,,5.975,12.86970424,4.86738149,32.49794154,2.95879397,300.8356546
F58,67,67WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/5/2016,september,post,Post,27.4,38.8,775,139,0.83,0.94,0.795,11.261,20.38369305,11.42776524,50.67671881,2.740100503,300
F57,133,133WBC,sample,figginsi,WBC,M,moderate,visited,2016,9/5/2016,september,post,M,32.4,41.5,1340,152,,7.477,,89.817,11.75059952,20.31602709,89.35004117,2.212663317,297.4930362
F56,40,40WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/5/2016,september,post,Post,30.4,16.3/25.7,875,132,0.056,0.77,1.282,20.05,10.79136691,17.56489842,29.02428983,1.183517588,301.4354067
F55,12,12WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/5/2016,september,post,Post,29.5,39.6,900,137,0.04,1.33,1.841,25.292,8.872901679,11.63939052,34.69792096,1.505125628,301.4354067
F54,123,123WBC,sample,figginsi,WBC,M,moderate,visited,2016,9/5/2016,september,post,M,32,46.5,1250,141,,2.299,,11.167,7.59392486,7.83013544,22.61733224,1.903919598,300.8356546
F53,161,161WBC,sample,figginsi,WBC,M,moderate,visited,2016,9/5/2016,september,post,M,27.8,41.9,1045,112,,0.374,,3.125,0,8.253386005,33.88740222,1.19638191,298.3286908
F52,156,156WBC,sample,figginsi,WBC,M,moderate,visited,2016,9/5/2016,september,post,M,26.7,42.8,840,118,,0.772,,2.895,18.78497202,3.174379233,17.13668176,2.469949749,300.8356546
F51,126,126WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/5/2016,september,post,Post,27,38.7,725,121,0.061,0.761,4.716,24.612,17.3461231,9.311512415,30.02778921,1.788140704,302.15311
F50,23,23WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/5/2016,september,post,Post,33.5,23.5/30.3,1220,119,0.495,2.706,1.63,10.794,17.186251,0,31.88040346,0.308743719,301.4354067
F5,151,151WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,23.3,37.5,585,128,0.676,0.421,0.114,1.512,13.2176235,17.10863986,38.27207275,2.264811133,313.6363636
F46,93/0A,93/0AUC,sample,inornata,UC,M,moderate,visited,2016,6/26/2016,june,late,M,21.5,28.6,370,172,,4.359,,17.36,65.8184103,41.01194217,107.6749629,7.031657356,298.2283465
F45,19A,19AUC,sample,inornata,UC,F,moderate,visited,2016,6/26/2016,june,late,RF,30.7,36.5,1055,161,4.547,0.899,,75.87,55.82783538,37.71213074,70.47037333,24.55121043,301.7716535
F44,29C,29CUC,sample,inornata,UC,M,moderate,visited,2016,6/26/2016,june,late,M,20.6,25.9,347,141,,0.076,,11.448,1.665095822,22.86297926,73.33885147,4.671880819,301.7716535
F43,81/0A,81/0AUC,sample,inornata,UC,M,moderate,visited,2016,6/26/2016,june,late,M,19.9,,315,154,,0.08,,14.124,0.973923971,24.27718416,52.61730791,2.550465549,298.8188976
F41,157A,157AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/25/2016,june,late,NRF,33.5,42.7,1260,147,0.244,0.45,0.74,27.885,14.10618913,38.04347826,99.97650376,0.059590317,302.3622047
F40,35B,35BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/25/2016,june,late,NRF,28.6,36.8,850,152,0.283,0.58,0.927,10.144,6.063462143,16.71732523,33.09979983,2.276350093,298.8188976
F4,63,63WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,28.3,25.8/29.8,775,146,0.27,0.304,0.231,1.875,11.34846462,15.18391788,28.07881773,0.852485089,315.9090909
F39,19B,19BFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,27.7,36.2,760,163,,0.072,,13.983,3.738611373,16.50021711,33.60022877,2.288268156,295.8661417
F38,72A,72AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/25/2016,june,late,NRF,28.1,35.6,825,172,0.883,1.632,1.128,21.754,7.131636821,20.8423795,31.63425794,3.718435754,300
F37,36B,36BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/25/2016,june,late,NRF,27,,795,101,0.656,1.671,0.592,11.988,39.23971096,18.45419019,27.48784673,0.512476723,298.8188976
F36,54A,54AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,42.6,53.3,2655,131,,0.077,,18.481,11.34150173,9.769865393,30.52616528,1.704283054,297.0472441
F35,107A,107AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,28.3,36.5,935,143,,0.081,,26.885,18.37888784,13.02648719,24.09207892,2.0141527,296.4566929
F34,32A,32AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,35.5,44.8,1660,133,,0.07,,10.14,13.47785108,19.32262267,48.36288247,2.061824953,301.7716535
F33,8A,8AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,RF,25.5,34.2,675,152,2.806,1.108,0.539,36.637,42.10526316,30.39513678,42.5007149,2.181005587,298.2283465
F32,31B,31BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,NRF,28.3,36.9,855,140,0.17,1.443,0.342,14.359,12.11750306,26.70429874,57.79954246,1.763873371,301.7716535
F31,9A,9AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/24/2016,june,late,M,38.1,48.2,2310,154,,0.085,,16.372,18.8494492,15.41467651,26.62996854,1.310986965,302.3622047
F30,70A,70AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/24/2016,june,late,M,30.2,39,980,134,,0.071,,18.212,22.64381885,19.97394703,32.92107521,1.048789572,297.6377953
F3,99,99WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,30.8,26.0/34.2,1360,96,,0.077,,2.785,35.58077437,29.08468777,49.6779083,3.079125249,313.6363636
F29,62B,62BFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/24/2016,june,late,M,41.2,32.2,1290,152,,0.079,,56.18,13.83108935,10.20408163,33.63597369,1.430167598,299.4094488
F28,22A,22AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/24/2016,june,late,M,39.5,50.7,2415,145,,0.047,,14.433,16.03427173,12.59227095,34.3866171,1.549348231,298.2283465
F27,57B,57BFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/24/2016,june,late,M,32.5,41.5,1270,143,,0.555,,9.125,27.41738066,29.09248806,30.31169574,2.776908752,304.7244094
F26,28B,28BFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/24/2016,june,late,M,39.1,48.6,2710,135,,2.98,,28.502,9.608323133,23.66478506,35.31598513,2.836499069,304.7244094
F25,38A,38AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,RF,43.7,53.4,3155,108,0.072,13.517,0.475,7.038,17.56425949,20.19105515,56.19102088,1.990316574,301.7716535
F24,13A,13AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,RF,34.3,44.2,1365,133,2.479,1.44,0.196,29.713,5.630354957,14.98046027,23.52016014,2.502793296,301.7716535
F23,39A,39AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,RF,32.5,44.2,1180,158,1.363,,,91.319,42.71725826,75.33651759,8.078352874,12.0849162,298.8188976
F22,170A,170AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,NA,,,,114,0.059,1.036,0.429,13.613,4.957160343,15.41467651,25.02144695,2.026070764,297.6377953
F21,194,194NC,sample,figginsi,NC,M,no,non-visited,2016,6/23/2016,june,late,M,30.9,43.6,1650,85,,0.08,,1.178,24.7246022,,,0.737972167,281.8181818
F20,197,197NC,sample,figginsi,NC,M,no,non-visited,2016,6/23/2016,june,late,M,30.7,32.2/35.5,1300,91,,0.079,,0.805,27.84577723,,,4.692952721,314.4
F2,121,121WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,29.4,42.7,1180,81,,0.075,,0.873,5.473965287,8.554319932,34.48275862,0.890656064,297.7272727
F19,134,134NC,sample,figginsi,NC,M,no,non-visited,2016,6/23/2016,june,late,M,28.1,39.5,1185,98,,0.351,,1.885,17.80905753,14.75620188,34.06593407,1.221471173,300
F18,193,193NC,sample,figginsi,NC,M,no,non-visited,2016,6/23/2016,june,late,M,30.3,37,1225,117,,0.16,,2.05,8.996328029,15.39777588,26.60098522,1.246918489,
F16,71,71NAC,sample,figginsi,NAC,F,no,non-visited,2016,6/20/2016,june,NA,NA,26.3,34.8,770,161,,,,9.394,37.58344459,61.67306872,90.71694985,8.346833185,271.2
F15,132,132NAC,sample,figginsi,NAC,F,no,non-visited,2016,6/20/2016,june,NA,NA,25.7,15.7/25.0,660,199,,,,79.697,27.10280374,,,,
F14,127,127NAC,sample,figginsi,NAC,M,no,non-visited,2016,6/20/2016,june,NA,NA,31.5,41.1,1295,20,,,,7.487,20.32667877,43.74733248,57.39743058,4.978412132,296.4
F13,130,130NAC,sample,figginsi,NAC,F,no,non-visited,2016,6/20/2016,june,NA,NA,27.8,37.6,755,9,,,,37.629,9.134906231,16.6453265,38.66556154,2.786083854,295.2
F12,61,61NAC,sample,figginsi,NAC,M,no,non-visited,2016,6/20/2016,june,NA,NA,31,37.4,1180,29,,,,16.644,29.28009679,74.47716603,103.7712391,9.659946476,306
F106,103A,103AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/11/2016,september,post,M,25.7,35.3,625,158,,0.386,,66.508,13.20754717,1.666666667,31.91489362,1.7622701,307.2
F105,8A,8AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,24.3,33.6,595,146,1.258,0.3,0.655,40.974,3.245283019,13.0952381,32.24734043,0.591907514,297.4930362
F104,120A,120AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/11/2016,september,post,M,25.9,34.2,710,144,,4.893,,0.86,0.920502092,11.66666667,40.30917553,-0.026904887,306
F103,87B,87BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,24.2,32.2,645,140,0.716,0.183,0.891,13.091,8.099173554,15.71428571,17.95212766,3.457277982,296.6573816
F102,73A,73AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,25,32.7,620,118,0.441,1.088,0.71,0.883,4.628099174,11.19047619,16.95478723,1.237624803,298.3286908
F101,9A,9AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/11/2016,september,post,M,36.7,47.2,2330,135,,0.458,,10.66,5.950413223,7.142857143,18.32613032,0.551550184,304.8
F100,20B,20BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,33.8,46.1,1360,124,0.106,0.656,0.261,14.577,0,8.571428571,22.52327128,4.681450342,297.4930362
F10,,NA,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,,,,121,,0.079,,22.571,10.48064085,7.698887938,28.45774915,1.399602386,306.8181818
F1,28,28WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,35.2,45.3,1530,116,,0.073,,4.372,18.09078772,37.4251497,135.0890489,4.37693837,311.3636364
D9,144,144WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NRF,23.6,37.6,520,121,0.754,0.465,0.051,1.99,12.61682243,25.60819462,54.9108993,2.951888668,318.1818182
D8,145,145WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,25.2,40.2,810,107,,5.642,,2.336,12.75033378,15.15151515,38.78988811,1.463220676,315.9090909
D7,142,142WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,27.7,16.2/22.7,770,112,1.367,0.303,0.11,2.598,5.807743658,12.80409731,33.5681724,2.099403579,315.9090909
